Gard;fr-occ-ga;0,048134317;0,052038674;0;0,183641325;0,290179501;0,17323359;0;0;0;0,244462722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haute-Garonne;fr-occ-hg;0;0,137489989;0;0;0;0,396917472;0;0,418676981;0,39271009;0;0;0;0;0;0,354518982;0;0;0;0;0;0;0;0;0;0;0;0;0
Gers;fr-occ-ge;0,009337158;0,010467674;0;0,042889657;0,083035442;0,041409498;0;0;0,073090569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gironde;fr-naq-gi;0;0,279889979;0;0;0,44988187;0;0,545602728;0;0;0;0;0,447923864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hérault;fr-occ-he;0,100539284;0,099738433;0;0;0;0,422731185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ille-et-Vilaine;fr-bre-iv;0;0,096593302;0;0;0,286811264;0,34278593;0,284889887;0;0;0,289456903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Indre;fr-cvl-in;0;0,013406348;0;0,09671984;0,046307843;0;0,081445395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Indre-et-Loire;fr-cvl-il;0;0,093736212;0;0;0,151645574;0,221124821;0,147667958;0;0;0,183321651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Isère;fr-ara-is;0;0,202790159;0;0;0,330586686;0;0,413548869;0,326194492;0;0;0;0,356483647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jura;fr-bfc-ju;0,01501471;0,016906117;0;0,062000196;0;0,060540017;0;0,087400997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Landes;fr-naq-ld;0,045477023;0;0;0,101473333;0,267161274;0;0;0,144243112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loir-et-Cher;fr-cvl-lc;0;0,039922679;0;0,077566012;0,131481108;0,075383235;0;0;0,112500437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loire;fr-ara-lr;0;0,058392204;0;0,186971268;0,280217978;0,182294364;0;0;0,231216211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haute-Loire;fr-ara-hl;0;0,014636762;0;0,090586087;0,053836843;0;0,079227653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
