geoName;code_map;arts;Automobile;Affaires;Carrieres;Education;famille;sante;alimentation;Loisirs;jardin;politique;Actualites;Finances;Societe;Science;Animaux;Sports;mode;technologie;voyage;Immobilier;shopping;;;;;;;;;;;;;;;;;;;;;;
Eure-et-Loir;fr-cvl-el;0;35;0;36;0;58;0;3;0;8;0;86;0;65;0;64;0;94;0;53;0;67;0;43;0;41;0;52;0;59;0;64;0;48;0;93;0;66;0;36;0;31;0;34
Finistère;fr-bre-fi;0;34;0;28;0;74;0;2;0;74;0;87;0;59;0;61;0;81;0;52;0;74;0;77;0;36;0;34;0;69;0;63;0;55;0;91;0;62;0;39;0;4;0;34
Gard;fr-occ-ga;0;33;0;29;0;71;0;5;0;78;0;87;0;67;0;7;0;6;0;55;0;63;0;63;0;39;0;52;0;61;0;61;0;54;0;94;0;78;0;35;0;34;0;38
Gers;fr-occ-ge;0;31;0;33;0;52;0;0;75;0;74;0;75;0;67;0;8;0;49;0;68;0;85;0;3;0;38;0;61;0;69;0;61;0;91;0;55;0;31;0;34;0;35;
Gironde;fr-naq-gi;0;44;0;3;0;65;0;3;0;74;0;82;0;74;0;63;0;66;0;49;0;77;0;58;0;41;0;49;0;82;0;56;0;56;0;86;0;59;0;36;0;33;0;38
Haut-Rhin;fr-ges-hr;0;27;0;44;0;52;0;3;0;72;0;73;0;71;0;59;0;47;0;42;0;56;0;38;0;41;0;34;0;61;0;58;0;51;0;92;0;63;0;33;0;27;0;54
Haute-Corse;fr-cor-hc;0;26;0;25;0;65;0;0;79;0;7;0;6;0;67;0;47;0;41;0;76;0;68;0;44;1;0;85;0;73;0;47;0;89;0;52;0;33;0;46;0;51;;
Haute-Garonne;fr-occ-hg;0;41;0;32;0;67;0;3;0;81;0;76;0;64;0;71;0;63;0;48;0;84;0;65;0;46;0;47;0;91;0;55;0;65;0;93;0;8;0;34;0;32;0;37
Haute-Loire;fr-ara-hl;0;37;0;39;0;57;0;0;81;0;77;0;68;0;61;0;89;0;47;0;61;0;5;0;42;0;34;0;49;0;74;0;64;0;91;0;69;0;33;0;4;0;34;
Haute-Marne;fr-ges-hm;0;28;0;35;0;67;0;0;85;0;79;0;78;0;55;0;75;0;48;0;51;0;39;0;48;0;37;0;36;0;7;0;48;0;93;0;75;0;34;0;26;0;35;
Haute-Savoie;fr-ara-hs;0;38;0;35;0;56;0;3;0;73;0;86;0;63;0;61;0;56;0;43;0;65;0;51;0;4;0;4;0;65;0;61;0;94;0;94;0;62;0;37;0;39;0;64
Haute-Saône;fr-bfc-hn;0;31;0;41;0;78;0;0;85;0;81;0;69;0;65;0;67;0;47;0;58;0;55;0;31;0;26;0;52;0;73;0;41;0;88;0;63;0;32;0;31;0;3;
Haute-Vienne;fr-naq-hv;0;33;0;32;0;57;0;4;0;81;0;74;0;66;0;69;0;87;0;48;0;69;0;69;0;44;0;4;0;74;0;72;0;65;0;95;0;57;0;33;0;34;0;38
Hautes-Alpes;fr-pac-ha;0;3;0;28;0;58;0;0;71;0;73;0;61;0;71;0;63;0;41;0;61;0;75;0;36;0;39;0;59;0;65;0;54;0;85;0;45;0;35;0;35;0;39;
Hautes-Pyrénées;fr-occ-hp;0;24;0;3;0;52;0;0;67;0;82;0;64;0;67;0;77;0;49;0;61;1;0;38;0;51;0;62;0;72;0;74;0;88;0;54;0;33;0;27;0;36;;
Hauts-de-Seine;fr-idf-hd;0;56;0;29;0;95;0;13;0;8;0;89;0;73;0;59;0;5;0;39;0;95;0;76;0;68;0;8;0;93;0;39;0;78;0;96;0;93;0;44;0;34;0;52
Hérault;fr-occ-he;0;49;0;28;0;62;0;3;0;76;0;87;0;73;0;71;0;65;0;49;0;75;0;57;0;48;0;55;0;83;0;55;0;55;0;91;0;65;0;38;0;35;0;4
Ille-et-Vilaine;fr-bre-iv;0;45;0;33;0;86;0;4;0;79;0;95;0;6;0;62;0;84;0;48;0;83;0;73;0;51;0;39;0;79;0;58;0;64;0;93;0;63;0;4;0;36;0;38
Indre;fr-cvl-in;0;31;0;33;0;62;0;0;77;0;87;0;58;0;61;0;87;0;54;0;69;0;59;0;4;0;53;0;47;0;71;0;55;0;89;0;63;0;29;0;3;0;28;
Indre-et-Loire;fr-cvl-il;0;4;0;39;0;61;0;3;0;83;0;88;0;74;0;69;0;81;0;54;0;84;0;58;0;44;0;46;0;72;0;63;0;6;0;91;0;61;0;37;0;32;0;33
Isère;fr-ara-is;0;35;0;29;0;74;0;3;0;82;0;86;0;66;0;63;0;61;0;48;0;72;0;58;0;41;0;49;0;92;0;57;0;72;0;91;0;73;0;4;0;33;0;36
Jura;fr-bfc-ju;0;36;0;38;0;79;0;0;68;0;78;0;72;0;61;0;77;0;44;0;66;0;64;0;36;0;34;0;46;0;69;0;67;0;9;0;67;0;33;0;3;0;31;
Landes;fr-naq-ld;0;27;0;3;0;6;0;2;0;7;0;82;0;73;0;65;0;8;0;5;0;64;0;72;0;39;0;52;0;56;0;65;0;62;0;88;0;53;0;35;0;33;0;42
Loir-et-Cher;fr-cvl-lc;0;29;0;4;0;57;0;3;0;7;0;92;0;68;0;55;0;95;0;56;0;61;0;56;0;36;0;46;0;61;0;69;0;55;0;91;0;63;0;34;0;31;0;31
Loire;fr-ara-lr;0;34;0;37;0;64;0;3;0;75;0;83;0;81;0;57;0;7;0;44;0;63;0;63;0;42;0;54;0;67;0;57;0;56;0;88;0;67;0;39;0;32;0;36
