Campaign Name,Office,Start Date,End Date,date_dif,Status,Price Model,Goal budget,Volume booked,Price,Format,KPI,Impressions,Completes,Clicks,Conversions,Viewability,Budget Spent,Mediacost,Margin,Volume delivered,Achievement,Time,Trend,Rem. Volume,Rem. Day,Rem. Volume / day
Campaign 53,FR,05/03/2020,05/04/2020,31,Ended,CPC,6000.00,15000.00,0.40,Display,Conversion Rate,8751534.00,0,21819,10370,916921,6 000.00€,1 053.34 €,4 946.66€,21819,145.46%,100.00%,145%,-6819,0,0
Campaign 54,FR,09/03/2020,31/03/2020,22,Paused,CPM,19758.00,1975800.00,10.00,Display,Viewability,822146.00,0,318,0,294915,8 221.46€,270.77 €,7 950.69€,822146,41.61%,100.00%,42%,1153654,0,1153654
Campaign 55,FR,10/03/2020,31/03/2020,21,Ended,CPM,30000.00,3750000.00,8.00,Vidéo,Viewability,3750544.00,2611692,233184,0,3090290,30 000.00€,5 143.09 €,24 856.91€,3750544,100.01%,100.00%,100%,-544,0,0
Campaign 56,FR,09/03/2020,10/04/2020,32,Paused,CPM,15300.00,1390909.00,11.00,Display,Viewability,248087.00,0,639,0,187,2 728.96€,447.36 €,2 281.60€,248087,17.84%,90.63%,20%,1142822,4,285706
Campaign 57,FR,09/03/2020,20/03/2020,11,Ended,CPC,2000.00,5882.00,0.34,Natif,Conversion Rate,1017676.00,0,6758,0,0,2 000.00€,616.18 €,1 383.82€,6758,114.89%,100.00%,115%,-876,0,0
Campaign 58,DE,02/03/2020,30/03/2020,28,Paused,CPM,14683.88,1835322.00,8.00,Display,Viewability,855257.00,0,1927,0,551060,6 842.66€,634.63 €,6 208.03€,855257,46.60%,100.00%,47%,980065,0,980065
Campaign 59,DE,13/03/2020,03/04/2020,21,Ended,CPM,20000.00,1250000.00,16.00,Display,Viewability,1266285.00,0,1588,0,365742,20 000.00€,793.80 €,19 206.20€,1266285,101.30%,100.00%,101%,-16285,0,0
Campaign 60,FR,18/03/2020,02/04/2020,15,Ended,CPM,20000.00,1666667.00,12.00,Display,Reach,1658864.00,0,1545,0,1192832,19 906.36€,1 129.61 €,18 776.76€,1658864,99.53%,100.00%,100%,7803,0,7803
Campaign 61,DE,12/03/2020,03/04/2020,22,Ended,CPM,28675.15,2635584.00,10.88,Display,CTR,2593999.00,0,19754,0,1108271,28 222.71€,4 842.86 €,23 379.84€,2593999,98.42%,100.00%,98%,41585,0,41585
Campaign 62,DE,19/03/2020,10/04/2020,22,Live,CPM,5000.00,500000.00,10.00,Display,Conversion Rate,146900.00,0,212,#VALEUR!,#VALEUR!,1 469.00€,805.34 €,663.66€,146900,29.38%,86.36%,34%,353100,4,88275
Campaign 63,DE,01/04/2020,30/04/2020,29,Live,CPM,88984.80,10000000.00,8.90,Display,TBD,2236686.00,0,12366,0,984134,19 903.11€,2 510.47 €,17 392.63€,2236686,22.37%,20.69%,108%,7763314,24,323471
,,03/10/2019,30/11/2019,58,,CPM,11850.80,987566.00,12.00,,,967963.00,,4590,,,,,,,,,,,,
,,25/10/2019,24/11/2019,30,,CPM,126769.64,8876608.00,14.28,,,8865868.00,,996,,,,,,,,,,,,
,,04/10/2019,15/11/2019,42,,CPM,14729.79,1862964.00,7.91,,,1857310.00,,208931,,,,,,,,,,,,
,,23/10/2019,08/11/2019,16,,CPM,10000.00,714286.00,14.00,,,740699.00,,8315,,,,,,,,,,,,
,,25/09/2019,31/10/2019,36,,CPM,8999.46,499969.00,18.00,,,585136.00,,1356,,,,,,,,,,,,
